transaction_id,amount,payment_method,failure_reason,retry_count,transaction_hour,previous_success_rate,customer_lifetime_value,recovered,recovery_probability,expected_revenue,recommended_retry_delay,historical_timing_recovery_rate,recommended_action,final_retry_delay_minutes,priority_score
2896,151181.7,UPI,Bank Declined,0,0,0.6610947993049624,24531.85,0,0.4550793957441302,68799.67668357037,360,0.3333333333333333,DO_NOT_RETRY,,68799.67668357037
3983,69707.05,UPI,Network Error,0,19,0.8315864670042281,13874.75,1,0.7595151694315813,52943.561891325706,15,0.7391304347826086,RETRY,15.0,52943.561891325706
6892,101626.05,UPI,Insufficient Funds,0,5,0.7791336913325394,47496.73,0,0.45712522518330456,46455.83099073977,1440,0.5732984293193717,WAIT_AND_NOTIFY,,46455.83099073977
8166,59445.22,Card,Insufficient Funds,0,11,0.8821014236879178,9521.81,1,0.5744639918608495,34149.13837824641,1440,0.5732984293193717,WAIT_AND_NOTIFY,,34149.13837824641
7737,44816.5,UPI,Technical Error,0,17,0.5792990127461399,12583.66,1,0.6618472519670904,29661.677367783104,60,0.6748166259168704,RETRY,60.0,29661.677367783104
210,140467.51,Card,Network Error,3,8,0.9542224384077364,13050.49,0,0.4880958741987474,68561.6120899713,15,0.7391304347826086,DO_NOT_RETRY,,27424.64483598852
4785,46873.97,Card,Technical Error,1,22,0.8647969774987677,3325.51,1,0.7183344917096054,33671.189414361295,60,0.6748166259168704,RETRY,60.0,26936.951531489038
1616,72628.13,Card,Insufficient Funds,0,1,0.5186423299175882,1741.39,0,0.3662615604218772,26600.892224322954,1440,0.5732984293193717,WAIT_AND_NOTIFY,,26600.892224322954
7097,44837.24,UPI,Technical Error,0,4,0.3944939435299085,39179.93,1,0.5849626162909374,26228.109217664667,60,0.6748166259168704,RETRY,60.0,26228.109217664667
5674,50228.13,UPI,Network Error,1,10,0.6259766204522629,9753.37,1,0.6156591076488833,30923.405694672103,15,0.7391304347826086,RETRY,15.0,24738.724555737685
6959,42911.93,UPI,Bank Declined,0,9,0.5654999408556949,3620.15,0,0.5555597335469339,23840.140396784678,360,0.3333333333333333,DO_NOT_RETRY,,23840.140396784678
479,64788.33,NetBanking,Insufficient Funds,0,1,0.4741009290788121,10539.72,0,0.3579668831943444,23192.07655746664,1440,0.5732984293193717,WAIT_AND_NOTIFY,,23192.07655746664
5809,44490.35,Card,Bank Declined,1,10,0.8768872945043896,5142.51,0,0.6391278744627672,28435.022829604575,360,0.3333333333333333,RETRY_LATER,360.0,22748.01826368366
7784,40411.08,Wallet,Technical Error,0,5,0.4053537591787045,9906.47,1,0.5605336531322043,22651.77029941776,60,0.6748166259168704,RETRY,60.0,22651.77029941776
6739,56128.91,UPI,Bank Declined,1,20,0.6748691043430617,5773.04,1,0.49510048642556803,27789.450643536933,360,0.3333333333333333,DO_NOT_RETRY,,22231.560514829547
8096,41633.86,Card,Insufficient Funds,0,21,0.756532464502061,17258.01,1,0.5307812464823213,22098.472106670455,1440,0.5732984293193717,WAIT_AND_NOTIFY,,22098.472106670455
9835,25991.41,UPI,Network Error,0,9,0.9136901735367492,10979.13,1,0.8341713458513907,21681.289460275297,15,0.7391304347826086,RETRY,15.0,21681.289460275297
6486,36258.55,UPI,Network Error,1,8,0.8147844418929276,13007.97,1,0.7256668329343671,26311.627145292397,15,0.7391304347826086,RETRY,15.0,21049.30171623392
8312,44281.79,UPI,Network Error,0,6,0.1539666359756705,1618.94,0,0.4656090474857804,20618.00206286536,15,0.7391304347826086,DO_NOT_RETRY,,20618.00206286536
6845,34242.46,Wallet,Technical Error,0,0,0.4375286952455458,6399.73,0,0.5886353262853297,20156.321614912347,60,0.6748166259168704,RETRY,60.0,20156.321614912347
5847,55674.09,NetBanking,Insufficient Funds,1,15,0.7998486423371508,16209.19,0,0.4433898893352385,24685.328603940106,1440,0.5732984293193717,WAIT_AND_NOTIFY,,19748.262883152085
1234,39328.68,NetBanking,Expired Card,1,14,0.9614773046181858,20696.18,0,0.6252343850129227,24589.643053170035,360,0.13221153846153846,UPDATE_PAYMENT_METHOD,,19671.71444253603
6849,37418.77,NetBanking,Network Error,1,1,0.6309323476726025,6254.11,1,0.6544409390277115,24488.374976061958,15,0.7391304347826086,RETRY,15.0,19590.699980849568
1497,23423.7,UPI,Network Error,0,7,0.8989004197954835,4127.13,0,0.8313246576671858,19472.69938379886,15,0.7391304347826086,RETRY,15.0,19472.69938379886
7758,30261.66,Card,Network Error,1,4,0.9671153737567904,5327.39,1,0.8017682531395176,24262.838275302016,15,0.7391304347826086,RETRY,15.0,19410.270620241612
6107,30878.88,UPI,Bank Declined,0,21,0.6705144071194699,5501.73,1,0.6211886257684146,19181.609032467783,360,0.3333333333333333,RETRY_LATER,360.0,19181.609032467783
8697,31120.57,UPI,Bank Declined,0,5,0.6174567054531491,5183.17,1,0.6033590858521629,18776.878666398246,360,0.3333333333333333,RETRY_LATER,360.0,18776.878666398246
615,34397.94,Card,Expired Card,0,1,0.615236253568195,1159.14,0,0.543629289743643,18699.727690844447,360,0.13221153846153846,UPDATE_PAYMENT_METHOD,,18699.727690844447
3528,23574.16,Card,Technical Error,0,12,0.7381797234919559,1671.26,1,0.7687908377033317,18123.598214552374,60,0.6748166259168704,RETRY,60.0,18123.598214552374
4871,64657.56,NetBanking,Bank Declined,2,5,0.7337468748195516,13649.8,1,0.4482800600826538,28984.694881597792,360,0.3333333333333333,DO_NOT_RETRY,,17390.816928958673
5581,19935.72,UPI,Network Error,0,12,0.984393958071329,3644.09,1,0.8565583604108152,17076.107636809098,15,0.7391304347826086,RETRY,15.0,17076.107636809098
6821,21851.76,Card,Network Error,0,5,0.6892070044912099,6089.82,1,0.7722285470472894,16874.552875226076,15,0.7391304347826086,RETRY,15.0,16874.552875226076
7224,67351.55,UPI,Network Error,1,7,0.0675000516072882,14531.19,1,0.30531763591339256,20563.616021102654,15,0.7391304347826086,DO_NOT_RETRY,,16450.892816882126
